192.168.10.1 - - [30/May/2013:14:59:59 +0000] "HEAD /index.html HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:00:01 +0000] "GET /index.html HTTP/1.1" 200 33 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:00:01 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:00:04 +0000] "GET /index.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:00:04 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:00:09 +0000] "GET /index.html HTTP/1.1" 200 33 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:09 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:09 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:09 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:26 +0000] "GET /index.html HTTP/1.1" 200 42 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:26 +0000] "GET /index.html HTTP/1.1" 200 42 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:27 +0000] "GET /index.html HTTP/1.1" 200 42 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:37 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:37 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:37 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:37 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:38 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:38 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:38 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:38 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:00:39 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:01:31 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:31 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:31 +0000] "GET /index.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:31 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:31 +0000] "GET /index.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:31 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:32 +0000] "GET /index.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:32 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:33 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:33 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:48 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:01:49 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:01:49 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0"
192.168.10.1 - - [30/May/2013:15:01:52 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:52 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:52 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:52 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:52 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:53 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:01:53 +0000] "GET /index.html HTTP/1.1" 200 37 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
